"Language Packs","Pacotes de Idioma"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Aviso: O seu pacote de idioma não corresponde à versão do Magento. Saiba mais <a href='%s'>aqui</a>."
"Brazil","Brasil"
"Portuguese (Brazil)","Português (Brasil)"
"Brazilian language package pt_BR - Community Edition (CE)","Pacote de idioma brasileira pt_BR - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","O pacote de idiomas <span style='color:red'>%s</span> na versão <span style='color:red'>%s</span> foi instalado com sucesso."
"On the <a href='%s'>Magento Connect page of the Brazilian language pack</a>, you can find more information on the latest versions.","Na <a href='%s'>Magento Connect página do pacote de idioma brasileira</a> você pode encontrar mais informações sobre as últimas versões."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Para os interessados, há uma <a href='%s'>repositório GitHub</a>. Ele vem com as seguintes finalidades:"
"Development of current language pack versions","Desenvolvimento de versões de idioma atual do pacote"
"Report an error / send in patches, also happy for both published releases","Señalar un error / enviar parches, también feliz para ambas publicaciones liberados"
"Alternative Downloads (regardless of official sources)","Descargas alternativos (sin tener en cuenta las fuentes oficiales)"
"Copy / forks for their own purposes","Copiar / horquillas para sus propios fines"
"Active participation in the language pack","Participación activa en el paquete de idioma"
"View Preview versions & test","Ver y probar las versiones de vista previa"
"Note for detailed information, the README file on the GitHub page.","Nota: Para obter informações detalhadas, o arquivo LEAME/README no página GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","A fim de garantir a cobertura de tradução Magento, por favor, consulte as informações abaixo de parágrafos!"
"powered by","distribuído por"
"and","e"
"Using your own translations","Usando suas próprias traduções"
"Recommended extensions","Extensões recomendadas"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","O pacote de idiomas instalados apenas fornece traduções de textos existentes no Magento. Se você quiser preparar sua loja Magento sobre os requisitos legais na %s ou expandir os métodos de pagamento comuns, então nós recomendamos que você instale as seguintes extensões adicionais."
"Specific market adjustment for","Definindo mercado específico para"
"Brazilian and Latin American stores","lojas brasileiras e latino-americanas"
"Currently not available","Indisponível no momento"
"Note: Install the extension %s, so you can use %s as a <a href='%s'>fallback language</a>.","<b>Nota:</b> Instale a extensão %s, assim você pode usar o <span style='color:red; font-weight:bold;'>%s</span> como uma <a href='%s'>segunda opção de idioma</a>."
"Note: Install the language package %s to use it as a <a href='%s'>fallback language</a>.","<b>Nota:</b> Instale o pacote de idioma %s, para o uso como uma <a href='%s'>segunda opção de idioma</a>."
"Common payment methods","Métodos de pagamento comuns"
"Debit / direct debit","Débito / débito directo"
"Cash On Delivery","Contra reembolso"
"Payment in Advance","Pago por adelantado"
"Extension Key for the","Chave de extensão para o"
"on","em"
